anchor,cohort,outcome,t0,n_treated,n_donors,pre_rmspe,post_rmspe,rmspe_ratio
EU,2004,efw_overall,2010,10,148,1.206260188768666,1.0609792547504124,0.87956086475294
EU,2004,efw_delta5,2010,10,113,0.3665597098942221,0.10805351638277655,0.29477739496781435
EU,2004,reform_event_03,2010,10,155,0.4452455106078951,0.14005971677415854,0.31456738683998087
EU,2004,reversal_event_03,2010,10,155,0.0682568408402426,0.08998235597907886,1.3182906631979285
EU,2004,hazard_rev_03,2010,10,155,0.06114854597966586,0.17044005403849133,2.7873116409860166
