anchor,cohort,outcome,t0,n_treated,n_donors,pre_rmspe,post_rmspe,rmspe_ratio
EU,2004,efw_overall,2000,7,32,0.7484233358021019,0.1755416977104719,0.2345486696006612
EU,2004,efw_delta5,2000,4,32,0.6930109200799992,0.1483998828587996,0.21413787078805158
EU,2004,reform_event_03,2000,10,33,0.07809320327089685,0.3595222526885534,4.603758555548167
EU,2004,reversal_event_03,2000,10,33,0.09090909090909097,0.06308078786261012,0.693888666488711
EU,2004,hazard_rev_03,2000,10,33,0.09835933105021077,0.2423087872805299,2.463505848335176
EU,2004,delta5_log_tfp,2000,4,32,0.016585582726673268,0.028225865070020034,1.7018313757904104
EU,2004,delta5_inv_share_gdp,2000,2,31,0.9980768068864538,2.5818530828600457,2.586828052757036
EU,2004,delta5_inflation_cpi,2000,5,30,208.68258601552623,3.605902061852038,0.017279362551045608
EU,2004,delta5_inflation_volatility,2000,5,30,89.1961909751338,9.922113524045004,0.11123920669225774
EU,2007,efw_overall,2000,2,37,2.871703207326588,1.5579969204870037,0.5425341018918947
EU,2007,efw_delta5,2000,2,34,0.6688775461837898,0.890746748252338,1.3317037675048289
EU,2007,reform_event_03,2000,2,41,0.4013453969862336,0.5399910240006264,1.3454521418596173
EU,2007,reversal_event_03,2000,2,41,0.34110548687566866,0.2996793482336077,0.8785532914715013
EU,2007,hazard_rev_03,2000,2,41,0.19520301062948014,0.20980848639224606,1.0748219800282124
EU,2007,delta5_log_tfp,2000,2,34,0.09726461218284846,0.11623707363941631,1.195060269411257
EU,2007,delta5_inv_share_gdp,2000,1,32,4.874789098141987,4.7607817793789975,0.9766128715585988
EU,2013,efw_overall,2005,1,42,1.2593640487279256,0.9288642417517164,0.7375661094105039
EU,2013,reform_event_03,2005,1,42,0.08894878359032433,0.5885210915585259,6.616404045153733
EU,2013,reversal_event_03,2005,1,42,0.008433131755803795,0.04928712065946014,5.844462304948584
EU,2013,hazard_rev_03,2005,1,42,0.10635377929246555,0.16649743522995153,1.565505582759735
EU,2013,delta5_log_gdp_pc,2005,1,42,0.07516254592212376,0.07080951581326948,0.9420851162577106
EU,2013,delta5_log_tfp,2005,1,42,0.026902210853502206,0.10980589894399369,4.081668214629239
EU,2013,delta5_inflation_cpi,2005,1,36,50.13678650500961,2.907207178639068,0.05798551086533205
EU,2013,delta5_inflation_volatility,2005,1,36,394.3360151501468,1.3234170312623221,0.003356064321840905
