category,pre1,post1,pre_share,post_share
NA,4821,4752,0.7413501460864217,0.7307396586190988
0,570,609,0.08765185299092726,0.09364908503767493
Left,512,522,0.0787328925111487,0.08027064431800707
Right,464,474,0.07135168383822851,0.07288943564508689
Center,136,146,0.020913424573273873,0.02245117638013225
