category,pre1,post1,pre_share,post_share
NA,4341,4363,0.6675380593572198,0.6709211133323082
0,854,833,0.13132400430570507,0.12809472551130247
Left,635,614,0.0976472397355067,0.0944179609411041
Right,498,516,0.07658003998154699,0.07934799323389205
Center,175,177,0.02691065662002153,0.027218206981393205
