category,pre1,post1,pre_share,post_share
NA,4471,4427,0.6875288328463786,0.6807627248962017
0,664,699,0.10210671997539597,0.10748885129940028
Left,662,652,0.1017991696140243,0.10026141780716592
Right,516,543,0.07934799323389205,0.08349992311240965
Center,190,182,0.02921728433030909,0.02798708288482239
