runnerup_party_match_status,n_events,share
missing,1763,0.2711056435491312
matched_exact,1473,0.22651084115023834
matched_clea_id,1274,0.19590958019375673
unmatched,1088,0.16730739658619098
ambiguous_exact,368,0.05658926649238813
generic,300,0.04613255420575119
matched_fuzzy,121,0.018606796862986313
no_candidates,75,0.011533138551437798
ambiguous_fuzzy,25,0.0038443795171459326
matched_fuzzy_tie,16,0.002460402890973397
