office_type,flag_two_round,flag_inconsequential,flag_coup,flag_plebiscite,flag_unopposed,flag_indirect,flag_constituent,flag_vacant_seats,flag_appointed,flag_non_partisan
parliamentary,0.0,0.006281900274833137,0.0043188064389477815,0.0,0.0,0.0,0.02866117000392619,0.02237926972909305,0.06419316843345112,0.060855908912446015
presidential,0.177430801987225,0.0262597586941093,0.014194464158977998,0.0539389638041164,0.11426543647977289,0.04187366926898509,0.0,0.0,0.0,0.0
