source_election_id,country_name_raw,country_cow,date,year,month,type_election_raw,flag_two_round,flag_inconsequential,flag_coup,flag_plebiscite,flag_unopposed,flag_indirect,candidate_1_name_raw,candidate_2_name_raw,party_1_name_raw,party_2_name_raw,share_1,share_2,round2_used,share_metric,margin,election_date,election_year,election_month,election_day,date_precision,office_type,source,flag_constituent,flag_vacant_seats,flag_appointed,flag_non_partisan,iso3,iso3_match_status,source_priority,party_1_clea_id,party_2_clea_id,id,country_code_clea,efw_country,efw_post2000,event_id,runnerup_partyfacts_id,winner_partyfacts_id,runnerup_party_name_std,winner_party_name_std,runnerup_party_match_status,winner_party_match_status,runnerup_party_match_method,winner_party_match_method,runnerup_party_match_score,winner_party_match_score,runnerup_party_match_alias,winner_party_match_alias,runnerup_party_match_alias_source,winner_party_match_alias_source,runnerup_party_match_tie,winner_party_match_tie,runnerup_ideo_vparty,winner_ideo_vparty,runnerup_ideo_year,winner_ideo_year,runnerup_ideo_gap,winner_ideo_gap,runnerup_ideo_ok,winner_ideo_ok,runnerup_ideo_source,winner_ideo_source,dpi_year_pre1,dpi_year_post1,dpi_countryname_pre1,dpi_ifs_pre1,dpi_execrlc_pre1,dpi_gov1rlc_pre1,dpi_gov2rlc_pre1,dpi_gov3rlc_pre1,dpi_opp1rlc_pre1,dpi_herfgov_pre1,dpi_herfopp_pre1,dpi_herftot_pre1,dpi_govfrac_pre1,dpi_oppfrac_pre1,dpi_frac_pre1,dpi_polariz_pre1,dpi_execrlc_code_pre1,dpi_gov1rlc_code_pre1,dpi_gov2rlc_code_pre1,dpi_gov3rlc_code_pre1,dpi_opp1rlc_code_pre1,dpi_countryname_post1,dpi_ifs_post1,dpi_execrlc_post1,dpi_gov1rlc_post1,dpi_gov2rlc_post1,dpi_gov3rlc_post1,dpi_opp1rlc_post1,dpi_herfgov_post1,dpi_herfopp_post1,dpi_herftot_post1,dpi_govfrac_post1,dpi_oppfrac_post1,dpi_frac_post1,dpi_polariz_post1,dpi_execrlc_code_post1,dpi_gov1rlc_code_post1,dpi_gov2rlc_code_post1,dpi_gov3rlc_code_post1,dpi_opp1rlc_code_post1,election_month_int
350.0,Iceland,,,,,,,,,,,,,,Íhaldsflokkur,framsóknarflokkur,39.442173944217394,24.95877249587725,,vote_share,14.483401448340146,1926-07-01,1926,7,1,month,parliamentary,clea_lc,,,,,ISL,efw_exact,2,11,8,350.0,352.0,True,False,6323,964,1891,framsoknarflokkur,ihaldsflokkur,matched_exact,matched_exact,exact,exact,100.0,100.0,framsoknarflokkur,ihaldsflokkur,external:clea:name,external:clea:name,False,False,0.074,,1971,,45.0,,False,,vparty_v2pariglef,,1925,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
350.0,Iceland,,,,,,,,,,,,,,Íhaldsflokkur,framsóknarflokkur,55.092532677623915,44.907467322376085,,vote_share,10.18506535524783,1926-10-01,1926,10,1,month,parliamentary,clea_lc,,,,,ISL,efw_exact,2,11,8,350.0,352.0,True,False,6324,964,1891,framsoknarflokkur,ihaldsflokkur,matched_exact,matched_exact,exact,exact,100.0,100.0,framsoknarflokkur,ihaldsflokkur,external:clea:name,external:clea:name,False,False,0.074,,1971,,45.0,,False,,vparty_v2pariglef,,1925,1927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
2331.0,Sri Lanka,,,,,,,,,,,,,,-990,,100.0,,,seat_share,,1936-01-01,1936,1,1,month,parliamentary,clea_lc,,,,,LKA,efw_exact,2,-990,,2331.0,144.0,True,False,6501,,,,990,missing,unmatched,none,fuzzy,,0.0,,cwc,,,False,False,,,,,,,,,,,1935,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2331.0,Sri Lanka,,,,,,,,,,,,,,-990,,100.0,,,seat_share,,1936-03-01,1936,3,1,month,parliamentary,clea_lc,,,,,LKA,efw_exact,2,-990,,2331.0,144.0,True,False,6502,,,,990,missing,unmatched,none,fuzzy,,0.0,,cwc,,,False,False,,,,,,,,,,,1935,1937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
