variable,n_nonmissing,mean_delta,p50_delta,p10_delta,p90_delta
dpi_year,6503,2.0,2.0,2.0,2.0
dpi_herfgov,1879,0.3785698917285791,0.0,-0.25662071,0.21502769
dpi_govfrac,1879,0.011465088663650876,0.0,-0.216340242,0.26447233000000003
dpi_frac,1841,0.019528595708853888,0.0,-0.11547410999999996,0.16063443000000005
dpi_polariz,1675,0.03402985074626866,0.0,0.0,0.0
dpi_herfopp,1524,0.8665148620702106,0.0,-0.2817083844999999,0.3130191030000002
dpi_oppfrac,1517,-0.00649199183586025,0.0,-0.32241866799999996,0.29486531600000015
dpi_herftot,26,-0.020234718461538466,-0.00020651499999999046,-0.08475249,0.011285647999999981
