variable,share_pre_nonmissing,share_post_nonmissing,share_both_nonmissing
dpi_gov1rlc,0.3124711671536214,0.31923727510379823,0.29125019221897586
dpi_execrlc,0.33246194064278023,0.32907888666769186,0.31385514377979395
dpi_opp1rlc,0.25864985391357836,0.2692603413809011,0.23558357681070274
