flag,n_true,share_true
flag_appointed,327,0.0502844840842688
flag_non_partisan,310,0.04767030601260956
flag_two_round,250,0.03844379517145933
flag_unopposed,161,0.024757804090419805
flag_constituent,146,0.02245117638013225
flag_vacant_seats,114,0.017530370598185453
flag_plebiscite,76,0.011686913732123634
flag_inconsequential,69,0.010610487467322774
flag_indirect,59,0.0090727356604644
flag_coup,42,0.006458557588805167
