0,Center,Left,NA,Right
0.0806,0.004,0.0035,0.0091,0.0049
0.0026,0.0152,0.0029,0.0025,0.006
0.008,0.0037,0.069,0.0048,0.0163
0.0117,0.0018,0.0097,0.6595,0.0048
0.0046,0.0032,0.0151,0.0049,0.0515
