iso3_match_status,n_events,share
cow_latest_no_year,5462,0.8400492156259612
cow_latest,423,0.06505690556751768
name_pycountry_exact,205,0.0315287603814211
name_override,130,0.019993848046754845
pycountry_exact,89,0.013688095970470625
cow_year,88,0.01353429713934174
efw_exact,84,0.012919101814826207
manual,21,0.0032297754537065518
