0,Center,Left,NA,Right
0.0586,0.0025,0.0088,0.0125,0.0054
0.0029,0.0094,0.004,0.0017,0.0029
0.0095,0.0031,0.0418,0.0063,0.018
0.0151,0.0032,0.0074,0.7077,0.008
0.0075,0.0043,0.0183,0.0026,0.0386
