,count,mean,std,min,25%,50%,75%,max,missing%
Overall EFW,4558.0,6.397395787626152,1.2116398016724916,2.25,5.64,6.46,7.3475,9.32,7.919191919191919
Size of Gov,4684.0,6.4279591519094925,1.4141069220942368,0.16375,5.578880387732511,6.5469108860709415,7.419399343711552,9.556186422411871,5.373737373737374
Legal System,4806.0,5.157374602058049,1.8305449716930895,1.0051386227745098,3.7343739003704024,4.961701123520109,6.389251355747877,9.462689880400001,2.909090909090909
Sound Money,4630.0,7.371413547707366,1.9317880878942955,0.0,6.323025086502561,7.6711337377882245,8.995425028956149,9.978515952230179,6.4646464646464645
Trade Freedom,4195.0,6.906172545151348,1.6927439189241436,0.0,6.023270177939693,7.074343446320449,8.200048499042365,10.0,15.252525252525254
Regulation,4721.0,6.110630591350864,1.2863630601538847,0.6875,5.33071739806473,6.2209825715578075,6.990524866413073,9.497306611111112,4.626262626262626
