horizon,term,coef,std_err,t_stat,p_value,nobs
0,bundle_1,0.07757986106369612,0.07833207540800585,0.9903971094804817,0.34785817345229675,80
0,bundle_3,0.009493535489421171,0.12351601258911912,0.07686076720272529,0.9404158574981967,80
1,bundle_1,0.006576780521463804,,,,22
2,bundle_0,0.0,,,,6
2,bundle_1,0.34788299830947556,,,,6
