infl_quartile,Δ EFW Mean,Δ EFW Median,N,Median Inflation
Low,0.0911538461538463,-0.050000000000000266,26,2.217202987602825
Med-Low,0.48461538461538467,0.5550000000000002,26,5.887168242552811
Med-High,1.0108000000000001,1.0499999999999998,25,14.55018335213247
High,1.886923076923077,2.015,26,58.696031408370914
