regime_type,mean,median,std,count
autocracy,-0.7065534876856392,-0.7746575127488381,0.49561096007530153,803
democracy,-0.3617279821201611,-0.3435636865714756,0.43731177955953565,618
unknown,-0.2807800832518422,-0.1892947561949236,0.460325795176096,36
