,gdppc_wb,gdppc_wb,gdppc_wb,gdppc_wb,gdppc_growth_5y,gdppc_growth_5y,gdppc_growth_5y,gdppc_growth_5y,population,population,population,population,gcf_gdp,gcf_gdp,gcf_gdp,gcf_gdp,trade_gdp,trade_gdp,trade_gdp,trade_gdp,inflation_cpi,inflation_cpi,inflation_cpi,inflation_cpi,gov_consumption_gdp,gov_consumption_gdp,gov_consumption_gdp,gov_consumption_gdp,efw_summary,efw_summary,efw_summary,efw_summary
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
decade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,8852.647160378976,2679.36141139879,14348.476300462333,249,0.11653789069319383,0.11042609994749775,0.173898382688673,123,23118995.152439024,4652075.5,84148693.07650802,328,22.212787045008312,22.3030951322516,7.991642899757466,165,57.6142146675942,49.4169684302622,39.93729319532705,191,12.487947628562527,8.001015035476765,28.508862798243705,186,14.741000399723783,13.2595596882443,5.9149143817352,189,5.507297167887203,5.388379502669473,1.2569887944991311,204
1980,9779.39415148735,3159.91257016953,15358.835486169002,273,0.047930385855312785,0.06711505522987382,0.18866402711965685,260,27742836.701219514,5989968.5,100539895.70292203,328,23.102989136014585,22.970656240972453,8.511477463672627,208,69.16897802194485,55.4454345531665,47.36765154711614,219,74.80839688338159,10.8659529841192,816.009019396407,207,16.183917612200407,15.28500005710075,6.674859380922738,216,5.406456177161816,5.374224275269105,1.3716790779619672,224
1990,9650.992583775265,3255.18726869561,14116.743085782377,323,0.015950227618371605,0.062122034543556914,0.2538419277231529,300,32956310.140243903,7329879.5,118899032.81079613,328,21.127021252122773,21.15705893734675,7.3935534332455815,260,69.88201725336208,59.3607543357884,45.14009775223384,275,83.81918333028159,9.250579665509894,528.7456103734847,260,15.574294032292286,15.079728572976,6.372571730014367,267,5.982637241966191,5.946137475462388,1.3873678067144755,240
2000,11761.836999244717,3851.532637191845,17140.653484806244,326,0.13191528176963954,0.12189844021183838,0.16451110192501725,325,38019145.09146342,8427488.0,135653609.36600208,328,21.615827291428467,21.2067763046123,6.835829245504376,285,83.53550057184903,72.0625342380294,51.30818209397166,295,10.068579756059865,3.9771250324928,37.05941650818973,301,15.753594069205349,15.047143394,9.015857034836001,291,6.42206849915305,6.4210921903105085,1.1806484568855324,319
2010,13324.4237737451,5191.05014254362,18419.51096941253,327,0.10361964704249853,0.09979887599525972,0.1360464195052664,326,43083139.146341465,9798470.5,149950069.20032948,328,23.681678710017934,22.39637399701775,7.661041900411754,294,86.38764587126676,73.54193080328926,54.55500675054637,300,4.400554531013017,2.93928652655686,8.33904500560283,323,16.561441431857617,15.87244764476145,8.01073593269454,300,6.610836667679457,6.668554381387258,1.0639644614281292,324
2020,13867.64460853366,5355.68934196443,19011.657772268245,163,0.0159903898318163,0.028557421970177188,0.15493431527166143,163,46847015.00609756,10525650.0,159860173.87534812,164,22.00003968003994,21.5599197830911,6.742098882493262,147,81.199431347156,66.4595069497083,57.75267693409903,151,8.812706836286006,2.00241205759292,47.009971890840454,155,17.743108905620623,17.4132237183255,6.699591119892634,151,6.584266411453033,6.62025,0.9848570430404728,165
