Region,ECONOMIC FREEDOM ALL AREAS,Area 1 Size of Government,Area 2 Legal System & Property Rights -- With Gender Adjustment,Area 3 Sound Money,Area 4 Freedom to trade internationally,Area 5 Regulation
East Asia & Pacific,7.777777777777778,7.6190476190476195,0.31746031746031744,6.190476190476191,14.603174603174605,4.603174603174604
Europe & Central Asia,8.623188405797102,7.608695652173914,4.3478260869565215,8.333333333333332,14.492753623188406,6.3768115942028984
Latin America & the Caribbean,2.307692307692308,1.6666666666666667,0.8974358974358974,0.7692307692307693,3.5897435897435894,2.307692307692308
Middle East & North Africa,10.158730158730158,5.714285714285714,3.968253968253968,6.825396825396825,22.53968253968254,4.761904761904762
North America,0.0,0.0,0.0,0.0,0.0,0.0
South Asia,4.666666666666667,4.0,0.0,4.0,14.000000000000002,4.0
Sub-Saharan Africa,10.227272727272728,4.393939393939394,3.787878787878788,8.409090909090908,20.606060606060606,4.393939393939394
