year,corr_gdppc_wb_pwt
1970,0.5852187979950392
1975,0.8608335078077024
1980,0.8506876920469876
1985,0.8338406247976868
1990,0.8467143388494576
1995,0.8947327306563551
2000,0.8925924195740196
2005,0.8780603981653073
2010,0.9047270078496361
2015,0.9315644306831667
