label,event_time,value
positive,-10,0.02280296346526791
positive,-5,0.07300750937873626
positive,0,0.12024582784808473
positive,5,0.09132474845105047
positive,10,0.09010757048001874
negative,-10,0.07898744439876274
negative,-5,0.07984978135923863
negative,0,0.005687588398395118
negative,5,0.03409836310346517
negative,10,0.01451695305893335
