Country,Change_2007_2009
Iceland,-1.2300000000000004
Seychelles,-0.9199999999999999
Guinea,-0.7200000000000002
Libya,-0.5099999999999998
Saudi Arabia,-0.4800000000000004
Nepal,-0.46999999999999975
Botswana,-0.46999999999999975
Eswatini,-0.41999999999999993
Ireland,-0.41999999999999993
United States,-0.41999999999999993
