iso3,year,d_efw_area1,d_efw_area2,d_efw_area3,d_efw_area4,d_efw_area5,bundle,large_reform
AGO,2010,-0.2142521918069393,-0.0586058154440047,4.365041636565339,0.1234608987845806,1.0048416536824858,2,True
ALB,2000,0.6674127543122381,-1.1305333934917163,2.5632249525495743,0.8538785437134102,1.830027442175812,2,True
ARG,1995,1.0190102598369233,1.284178091331122,3.8082340767238794,2.8141606831771364,1.7795069011199764,1,True
ARG,2005,-0.5311551452100547,0.099920991879264,-3.740258885602181,-1.1843262304757172,-0.390897466984935,3,True
BGD,2000,0.7873858759950441,-0.596286251863654,0.2320300870726139,4.073953138368266,0.533725812381781,2,True
BGR,2005,1.1858852673713969,0.1097565490410845,5.988472966338651,0.126301068040199,0.1951088634539504,2,True
BLZ,2005,2.51664946336504,-0.255228563769549,1.3543906457809776,0.9042591280935692,0.5690910236656128,0,True
BOL,1990,-0.8158688904614708,0.7694448465911758,4.898647926131121,1.944408838484021,1.3369955775227051,2,True
BRA,1990,0.0679131776071004,1.450759138316994,0.0,3.340740740740741,0.3601300470601316,1,True
BRA,2000,-0.417146252065014,-0.4642014855778127,5.735436885136123,1.013199895393,0.6148359778769565,2,True
CHL,1980,0.0389756648408461,0.0283846628419115,2.312,2.4866624549583163,0.5834997909875757,2,True
CHL,1990,0.7807978865901148,2.151215611504465,1.038122059977403,1.9481481481481489,1.6867165014739074,1,True
CRI,1975,-1.102121936663786,-0.8399568046797388,-2.159826907073861,-1.6337306062380463,0.4510062248981503,3,True
CRI,1990,1.8344622669668276,0.0697378202352929,2.205620564597882,2.7768383943758623,0.4487975628842662,2,True
DOM,1980,1.3963327773257346,0.9691032464632352,2.2138098563902053,0.2793458683623209,2.544934197867832e-05,1,True
DOM,1990,0.067025062695559,0.0449949666852953,-1.6842403877680812,-2.5844444444444448,-0.7760325766702136,3,True
DOM,1995,1.5033647547676132,0.8240545397094632,2.061696198698155,3.439543020526567,0.2595222042483662,1,True
ECU,1985,-0.4366099439952968,-0.5297598824470597,-1.2204397105916698,-3.096749039226109,-0.4071418664229123,3,True
EGY,1995,0.2959572475707395,0.624941118214303,-0.3329216988860803,3.945185185185186,0.314181591026422,1,True
EST,1995,1.4841552968744909,-0.2103240163824002,-2.1820000000000004,6.013333333333334,0.05995653638863,1,True
EST,2000,0.2746713052738165,0.3650867427642357,6.164717265561557,0.1796932524478691,1.43245580746066,2,True
FJI,1975,-0.0705473883701603,-0.0619559047058828,-3.96982689971156,0.894069862365722,-2.0890890890890885,3,True
GBR,1980,0.7831390069085753,0.397391390159477,1.000872445146329,2.3015439403057085,0.4479020211890434,1,True
GBR,1985,0.4219480341386026,0.0733410981333353,3.214827487998683,0.3550403041309788,0.8381508359633703,2,True
GHA,1990,-0.2407410300213088,0.994402529566667,2.079924513401694,3.661111111111111,0.4502391280169053,1,True
GIN,2020,1.84376050420168,0.5293755597408243,-0.5170101748038549,0.7206935410971242,2.443294661027114,1,True
GTM,1985,0.1453945216616414,0.1747454940156863,-0.8413370505996483,-3.643670874834061,-0.612084430458415,3,True
GTM,1990,0.3892677069554011,0.6248109714601311,-1.1208240136718317,4.5627019173569145,0.4880730507049602,1,True
GTM,1995,0.820728208273291,0.5118561922299256,1.4529139248522105,2.3554193282568887,0.2161449524047283,1,True
HND,1980,-2.147545522620123,-0.2994384673164214,-0.0916522491747677,-3.171802258491516,-0.139905563279167,3,True
HRV,2000,0.6214883854385809,-0.2364247169604869,2.9240338969150237,1.524702032015698,1.6241102293787515,2,True
HUN,1995,1.499433913201421,0.4627532661082245,-0.0474674362145552,3.3281481481481494,0.0975244034268456,1,True
IRN,1980,0.1124053760375165,-0.3271299059882353,0.4327305502787304,-6.203254159688949,-2.2697390705941176,3,True
ISL,1975,0.3782582603259961,0.2989630053333325,-2.153489167687039,-2.244444444444444,-1.704957527859018,3,True
ISL,1990,0.536561383817971,-0.4237108013851856,4.900670804419875,1.0877777777777773,0.5949100439078023,2,True
ISL,2010,-1.627808531504621,-0.3966453555346678,-2.6795785573517144,-0.8290744253911111,-1.6628621411697928,3,True
ISR,1990,0.6059814698983175,-0.4592479101002169,3.1046814998967607,0.6400000000000006,1.0773724221641228,2,True
JOR,2000,1.3349614230450495,0.4284851002467782,2.4025953375458435,1.4893228519032986,-0.2925485363354587,2,True
KGZ,2005,2.3911010754783177,0.0239761811597127,5.889455287112893,-0.217717238889163,-0.415764977905674,2,True
KOR,1990,0.0511212068633959,1.5611253296470575,-0.0028948832710877,1.9060083233206369,1.190277777777777,1,True
LBN,2020,0.2838532770821391,-0.1739452768346687,-4.380902620424031,-3.1573262703422538,0.0410717114338092,3,True
LSO,2005,2.789226057245687,-0.0046922784705882,2.5524276727596176,3.201711267947699,0.1423851723092815,2,True
LTU,2000,0.4136893906446461,-0.1552895485923473,4.577268927231806,-0.1515738572564711,0.9764270778631284,2,True
LVA,2000,0.5263308026602198,-0.1001732844130547,4.485432684494361,-0.7076182099918977,1.6004375929319083,2,True
MDA,2005,-0.1131652280737265,0.005142306786956,4.697875467603604,0.556248042290294,-0.2129760246125567,2,True
MDG,1975,-1.5309025182824874,-0.1856948487352947,-2.6540675741838093,-1.23353196978569,-0.0591058518518519,3,True
MDG,2000,0.3614987329013903,-0.5234876335730174,3.896337007905229,0.886726122542302,0.789935272362515,2,True
MEX,1980,-1.9161228014405456,0.9545558046830892,-0.1845028395583989,-4.274444444444445,-0.3892664886456742,3,True
MEX,1990,1.3777892430651972,0.3481724644851853,0.1399352528039648,3.0672911869762123,0.8638943226676141,1,True
MLT,1995,2.3792033221331472,2.746106334127451,-0.2074024516434942,0.7888888888888888,0.4666307169690924,1,True
