iso3,country,year,summary_change,area,area_change,abs_share,signed_share,rank_abs
ARG,Argentina,1975,-2.4299999999999997,d_efw_area3,-5.253653976175213,0.7752022229432655,0.4323995042119517,1.0
ARG,Argentina,1975,-2.4299999999999997,d_efw_area1,-0.8472143137868304,0.12501059687890656,0.06972957315117946,2.0
ARG,Argentina,1975,-2.4299999999999997,d_efw_area2,-0.3730764226470584,0.055049242579594586,0.030705878407165307,3.0
ARG,Argentina,1975,-2.4299999999999997,d_efw_area5,-0.30319526543209996,0.04473793759823337,0.024954342833917696,4.0
ARG,Argentina,1975,-2.4299999999999997,d_efw_area4,,,,
BDI,Burundi,1975,-1.5799999999999996,d_efw_area3,-3.21071803750963,0.9111136381863172,0.4064200047480545,1.0
BDI,Burundi,1975,-1.5799999999999996,d_efw_area1,-0.15494669130248973,0.043969617384105215,0.01961350522816326,2.0
BDI,Burundi,1975,-1.5799999999999996,d_efw_area5,-0.12851585975230462,0.036469272971221954,0.016267830348392992,3.0
BDI,Burundi,1975,-1.5799999999999996,d_efw_area2,-0.029768459000000025,0.008447471458355643,0.0037681593670886113,4.0
BDI,Burundi,1975,-1.5799999999999996,d_efw_area4,,,,
BRB,Barbados,1975,-1.6800000000000006,d_efw_area3,-2.9652768683286714,0.5877860886503876,0.3530091509915084,1.0
BRB,Barbados,1975,-1.6800000000000006,d_efw_area1,-1.6721962723914512,0.3314677684578981,0.19907098480850605,2.0
BRB,Barbados,1975,-1.6800000000000006,d_efw_area5,-0.3873873873873883,0.07678909165512943,0.04611754611754622,3.0
BRB,Barbados,1975,-1.6800000000000006,d_efw_area2,0.019962623691176518,0.003957051236584779,-0.0023765028203781564,4.0
BRB,Barbados,1975,-1.6800000000000006,d_efw_area4,,,,
BWA,Botswana,1975,-2.1399999999999997,d_efw_area3,-5.241333333333334,0.7924322115114071,0.48984423676012473,1.0
BWA,Botswana,1975,-2.1399999999999997,d_efw_area1,-1.0581580108821758,0.15998190524520617,0.09889327204506317,2.0
BWA,Botswana,1975,-2.1399999999999997,d_efw_area2,0.2243033252598039,0.03391220683381878,-0.0209629275943742,3.0
BWA,Botswana,1975,-2.1399999999999997,d_efw_area5,0.09044091710758373,0.013673676409568,-0.008452422159587265,4.0
BWA,Botswana,1975,-2.1399999999999997,d_efw_area4,,,,
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area3,-2.159826907073861,0.34911131752189284,0.40751451076865286,1.0
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area4,-1.6337306062380463,0.26407386747131595,0.30825105778076334,2.0
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area1,-1.102121936663786,0.17814540605929974,0.20794753521958217,3.0
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area2,-0.8399568046797388,0.1357694108647359,0.15848241597730914,4.0
CRI,Costa Rica,1975,-1.0600000000000005,d_efw_area5,0.45100622489815034,0.07289999808275557,-0.08509551413172645,5.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area3,-3.9698268997115598,0.560275630785123,0.7490239433418033,1.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area5,-2.0890890890890885,0.2948404897051685,0.3941677526583184,2.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area4,0.894069862365722,0.12618322379228156,-0.16869242686145688,3.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area1,-0.07054738837016039,0.009956601010035614,0.013310827994369879,4.0
FJI,Fiji,1975,-1.0600000000000005,d_efw_area2,-0.06195590470588286,0.008744054707391305,0.01168979334073261,5.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area3,-4.365170884493838,0.6163172844399644,0.6280821416537898,1.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area1,-1.3611042472677983,0.1921739367628588,0.1958423377363739,2.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area2,-1.356393154039215,0.19150877879717684,0.19516448259557054,3.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area5,0.0,0.0,-0.0,4.0
GUY,Guyana,1975,-1.3899999999999997,d_efw_area4,,,,
IND,India,1975,-0.96,d_efw_area5,-1.936427886437417,0.5976449952920934,0.40342247634112854,1.0
IND,India,1975,-0.96,d_efw_area1,0.5947005204668514,0.18354403602837374,-0.12389594176392738,2.0
IND,India,1975,-0.96,d_efw_area3,-0.4084548307734863,0.12606252322866576,0.08509475641114299,3.0
IND,India,1975,-0.96,d_efw_area2,-0.3005139800543306,0.0927484454508671,0.06260707917798555,4.0
IND,India,1975,-0.96,d_efw_area4,,,,
ISL,Iceland,1975,-1.0899999999999999,d_efw_area4,-2.244444444444444,0.33103351539926695,0.41182466870540263,1.0
ISL,Iceland,1975,-1.0899999999999999,d_efw_area3,-2.153489167687039,0.31761850524669005,0.3951356270985393,2.0
ISL,Iceland,1975,-1.0899999999999999,d_efw_area5,-1.704957527859018,0.2514644928951748,0.3128362436438566,3.0
ISL,Iceland,1975,-1.0899999999999999,d_efw_area1,0.3782582603259961,0.055789378950531196,-0.06940518538091672,4.0
ISL,Iceland,1975,-1.0899999999999999,d_efw_area2,0.29896300533333253,0.04409410750833693,-0.05485559730886836,5.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area3,-4.13265302503859,0.6632798965582406,0.6774841024653423,1.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area1,0.9748523516123702,0.1564612279374634,-0.1598118609200606,2.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area2,-0.9229169795555556,0.1481257378789347,0.15129786550091068,3.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area5,-0.20020975925925732,0.032133137625361234,0.0328212720097143,4.0
JAM,Jamaica,1975,-1.2200000000000006,d_efw_area4,,,,
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area3,-3.180731960652402,0.45813118085461313,0.36771467753206966,1.0
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area1,-1.5721742520757367,0.22644537657456118,0.1817542487948829,2.0
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area5,-1.25,0.18004157003874258,0.14450867052023122,3.0
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area2,-0.9399348196568624,0.1353818725320831,0.1086629849314292,4.0
KWT,Kuwait,1975,-1.7299999999999995,d_efw_area4,,,,
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area3,-2.6540675741838093,0.46864306665696776,0.46562589020768597,1.0
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area1,-1.5309025182824874,0.2703197378617656,0.2685793891723663,2.0
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area4,-1.2335319697856901,0.21781141172245833,0.2164091175062615,3.0
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area2,-0.18569484873529474,0.03278914381088148,0.03257804363777102,4.0
MDG,Madagascar,1975,-1.1399999999999997,d_efw_area5,-0.05910585185185191,0.010436639947926941,0.010369447693307355,5.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area3,-5.663271107815662,0.7000555151239763,0.7079088884769574,1.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area1,-1.8886832437389849,0.2334663299584976,0.236085405467373,2.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area5,-0.2613448844898638,0.03230569828876412,0.03266811056123296,3.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area4,-0.24444444444444402,0.03021657946740125,0.03055555555555549,4.0
MUS,Mauritius,1975,-1.6000000000000005,d_efw_area2,0.03200204033823617,0.003955877161360754,-0.00400025504227952,5.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area1,-2.3057709211760775,0.4319132468571945,0.4309852189114162,1.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area5,-1.6396396396396389,0.3071346220600712,0.30647469899806323,2.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area3,-0.526890976931373,0.09869635812308446,0.09848429475352763,3.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area4,-0.5111111111111102,0.09574049940407335,0.09553478712357197,4.0
MWI,Malawi,1975,-1.0700000000000003,d_efw_area2,-0.3550921040151138,0.06651527355557652,0.06637235589067546,5.0
NPL,Nepal,1975,1.06,d_efw_area3,-1.8806017248803544,0.3611530719435865,-0.3548305141283687,1.0
NPL,Nepal,1975,1.06,d_efw_area4,1.8222222222222222,0.3499418003358969,0.3438155136268343,2.0
NPL,Nepal,1975,1.06,d_efw_area5,1.498998998998999,0.28786961437211905,0.2828299998111318,3.0
NPL,Nepal,1975,1.06,d_efw_area2,0.005392140730391848,0.0010355133483975958,0.0010173850434701598,4.0
NPL,Nepal,1975,1.06,d_efw_area1,,,,
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area1,-3.1052562853426426,0.2955548958000985,0.5353890147142487,1.0
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area5,-2.6305485593422557,0.2503727338137281,0.45354285505900954,2.0
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area4,2.365098576082124,0.22510749483396733,-0.4077756165658834,3.0
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area3,-1.8031938196587074,0.17162601489358373,0.31089548614805296,4.0
PAK,Pakistan,1975,-1.1600000000000001,d_efw_area2,-0.602432441433824,0.05733886065862228,0.10386766231617654,5.0
PER,Peru,1975,-1.0300000000000002,d_efw_area4,-2.6007945209741594,0.43076944843827025,0.5050086448493513,1.0
PER,Peru,1975,-1.0300000000000002,d_efw_area1,-2.0458867588008918,0.33886010738199984,0.39725956481570707,2.0
PER,Peru,1975,-1.0300000000000002,d_efw_area3,-0.9333791425937461,0.15459553424785472,0.18123866846480502,3.0
PER,Peru,1975,-1.0300000000000002,d_efw_area2,0.43948894134558847,0.07279252833370585,-0.08533765851370648,4.0
PER,Peru,1975,-1.0300000000000002,d_efw_area5,0.018006294894156838,0.0029823815981692655,-0.0034963679406129775,5.0
