Component,Beta,SE,p-value,Convergence
Size of Gov,-0.7735956873895857,0.07453392873060635,1.3124712732082003e-17,Yes
Legal System,-0.309124335069921,0.053572708444202394,4.933326788936235e-08,Yes
Sound Money,-0.9677933544729768,0.09770403924681154,9.998441306785495e-17,Yes
Trade Freedom,-0.6870066881919095,0.05865336620828608,1.9679984416494224e-18,Yes
Regulation,-0.7377149257137112,0.04225236854577565,9.565750935962186e-34,Yes
