Metric,Value
EFW 1970,6.01
EFW 2020,6.58
Change,+0.57
SD 1970,1.24
SD 2020,0.99
Mean ρ,0.93
Shorrocks (rel),0.68
β-coefficient,-0.533
Large reforms,74
Large reversals,39
