Countries,EFW_1970,EFW_2020,Change
Nepal,2.83,6.33,3.5
Chile,4.69,7.59,2.8999999999999995
Uganda,4.06,6.77,2.71
Hungary,4.76,7.2,2.4400000000000004
Indonesia,4.53,6.91,2.38
Taiwan,5.6,7.87,2.2700000000000005
Nigeria,4.04,6.31,2.2699999999999996
Peru,5.21,7.45,2.24
Myanmar,3.35,5.5,2.15
Israel,5.32,7.34,2.0199999999999996
