shock_definition,frequency
shock_pos_q90,0.07493112947658402
shock_neg_q90,0.07493112947658402
shock_pos_q85,0.11074380165289256
shock_neg_q85,0.11074380165289256
shock_pos_sd1.0,0.12727272727272726
shock_neg_sd1.0,0.05289256198347107
shock_pos_sd1.5,0.07548209366391184
shock_neg_sd1.5,0.024242424242424242
shock_pos_abs,0.0534435261707989
shock_neg_abs,0.019834710743801654
