term,estimate,std_error
C(iso3)[T.MWI],-0.4842972788138893,84734.82600022755
C(iso3)[T.MYS],-0.396063519454694,98335.37594982823
C(iso3)[T.NAM],-0.3827065626409514,104250.1559393045
C(iso3)[T.NER],-0.5059562006562105,104726.6946975651
C(iso3)[T.NGA],-0.2479297653734433,95974.26819223416
C(iso3)[T.NIC],-0.40780971886323814,95488.65330596184
C(iso3)[T.NLD],-0.4964840150364083,106078.5410939711
C(iso3)[T.NOR],-0.46145848814859547,96011.24228034227
C(iso3)[T.NPL],-0.1285004089446546,105127.13559671724
C(iso3)[T.NZL],-0.3343401387830076,101601.22807380596
C(iso3)[T.OMN],-0.38414422224090833,110082.71343533574
C(iso3)[T.PAK],-0.3720557725901965,99218.3807482734
C(iso3)[T.PAN],-0.40250116997816865,113820.75724899284
C(iso3)[T.PER],-0.2510966148914824,108471.6809278791
C(iso3)[T.PHL],-0.3144397543826802,96800.46000197009
C(iso3)[T.PNG],-0.5357244794856513,86122.21775797896
C(iso3)[T.POL],-0.49141238916318264,115832.45428979905
C(iso3)[T.PRT],-0.29591841312609446,100502.56058476833
C(iso3)[T.PRY],-0.32186570962602534,98499.07908596819
C(iso3)[T.QAT],0.03672960353012916,108664.98393374763
C(iso3)[T.ROU],-0.36208638395765663,109984.5546056913
C(iso3)[T.RUS],-0.13673517853972908,107457.54729839324
C(iso3)[T.RWA],-0.3387159751501447,105593.2472594434
C(iso3)[T.SAU],-0.08159030956732005,113803.74323499361
C(iso3)[T.SDN],-0.5323776687791911,108124.06585000598
C(iso3)[T.SEN],-0.3893675862775739,101716.96215240839
C(iso3)[T.SGP],-0.3653986526042194,88204.9631582936
C(iso3)[T.SLE],-0.3760798674177641,101730.48570891818
C(iso3)[T.SLV],-0.33375516851389053,114399.19079728702
C(iso3)[T.SRB],0.20413516081176797,99686.44971708601
C(iso3)[T.SUR],-0.4119854458387195,101237.86579359029
C(iso3)[T.SVK],-0.42138962047293127,109856.7752737912
C(iso3)[T.SVN],-0.49068873103845667,109826.21790421785
C(iso3)[T.SWE],-0.4039288139655315,115156.19924580576
C(iso3)[T.SWZ],-0.22661650409790338,114860.72692000905
C(iso3)[T.SYC],0.11371712722576122,94460.97385119667
C(iso3)[T.SYR],-0.5086959415946929,97498.99675716
C(iso3)[T.TCD],-0.4905401543942882,107379.29884983029
C(iso3)[T.TGO],-0.35017100583229566,103805.75394493122
C(iso3)[T.THA],-0.38249160654806985,96504.53070920566
C(iso3)[T.TJK],0.3309507418531064,98478.4966393775
C(iso3)[T.TLS],0.2215644987077298,107921.32791083129
C(iso3)[T.TTO],-0.504997600819642,110727.83050531862
C(iso3)[T.TUN],-0.39511624524413935,105847.65938995416
C(iso3)[T.TUR],-0.30048197041708663,94692.9676381976
C(iso3)[T.TWN],-0.25023627452356834,107025.2904040226
C(iso3)[T.TZA],-0.31731342159275944,109597.40487758112
C(iso3)[T.UGA],-0.20248666125715337,88720.88144445157
C(iso3)[T.UKR],0.11813661772096949,81223.46949049078
C(iso3)[T.URY],-0.4407967102835759,104828.59238000735
C(iso3)[T.USA],-0.4837614419309363,103575.03355581853
C(iso3)[T.VEN],-0.9402651815725821,95588.543071301
C(iso3)[T.VNM],-0.37192169058743424,106046.45172570094
C(iso3)[T.YEM],-0.10070857950127521,106594.84551153438
C(iso3)[T.ZAF],-0.44193430447253623,107632.58164327446
C(iso3)[T.ZMB],-0.4427599051081262,110466.05076576464
C(iso3)[T.ZWE],-0.5701211961693584,101345.87180900699
C(year)[T.1980],0.49822402561021534,11848.933653001974
C(year)[T.1985],0.6180327046334848,13487.650662583457
C(year)[T.1990],3110177122763.832,2.2208398330313396e+19
C(year)[T.1995],3110177122764.052,2.1830481849749262e+19
C(year)[T.2000],3110177122763.9023,2.0704330083090334e+19
C(year)[T.2005],-5842291437060.25,
C(year)[T.2010],2080421056258.606,1.0792923077186435e+19
C(year)[T.2015],7922712493319.518,1.340052336861323e+19
C(year)[T.2020],0.3194849992131796,9840.166702712024
EU_neg_share,1.0957370571481364,56995.0192009009
WTO_neg_share,0.05329881400554759,148848.1162453314
crisis_1990s,-3110177122763.1133,1.934935759643111e+19
crisis_2008,5842291437060.857,
crisis_euro,-7922712493318.967,1.3774836342860237e+19
EU_neg_share:crisis_1990s,-0.44742179640734603,44012.5009997195
EU_neg_share:crisis_2008,-0.16379071068733905,47684.17608753423
EU_neg_share:crisis_euro,-0.9439500369454882,36880.01433475171
WTO_neg_share:crisis_1990s,-0.6105494956245032,146278.87992032492
WTO_neg_share:crisis_2008,0.03582954086058315,53966.5927610245
WTO_neg_share:crisis_euro,-0.6714278889585413,157183.13436432238
