efw_initial_group,gdppc_initial_group,shock_pos_q90,shock_neg_q90,shock_pos_sd1.0,shock_neg_sd1.0,shock_pos_sd1.5,shock_neg_sd1.5,shock_pos_abs,shock_neg_abs
low,low,0.11764705882352941,0.10160427807486631,0.1657754010695187,0.0748663101604278,0.09090909090909091,0.0427807486631016,0.053475935828877004,0.026737967914438502
low,mid,0.16883116883116883,0.14285714285714285,0.22077922077922077,0.1038961038961039,0.16883116883116883,0.032467532467532464,0.13636363636363635,0.032467532467532464
low,high,0.13636363636363635,0.2727272727272727,0.22727272727272727,0.18181818181818182,0.13636363636363635,0.13636363636363635,0.13636363636363635,0.13636363636363635
mid,low,0.045454545454545456,0.09090909090909091,0.07954545454545454,0.07954545454545454,0.022727272727272728,0.0,0.022727272727272728,0.0
mid,mid,0.07142857142857142,0.11688311688311688,0.2012987012987013,0.09740259740259741,0.14935064935064934,0.05844155844155844,0.11038961038961038,0.045454545454545456
mid,high,0.07792207792207792,0.03896103896103896,0.2077922077922078,0.06493506493506493,0.06493506493506493,0.025974025974025976,0.05194805194805195,0.025974025974025976
high,low,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0
high,mid,0.05194805194805195,0.14285714285714285,0.12987012987012986,0.15584415584415584,0.05194805194805195,0.06493506493506493,0.025974025974025976,0.03896103896103896
high,high,0.030303030303030304,0.06818181818181818,0.06439393939393939,0.01893939393939394,0.03409090909090909,0.011363636363636364,0.030303030303030304,0.011363636363636364
