term,coef,std_err,p_value
Intercept,0.4528871001386878,0.7165143413280504,0.5273412464331085
C(year)[T.1980],0.9706866378623688,0.5475646150577671,0.07627272547548047
C(year)[T.1985],2.5310129008494595,0.5389014053649759,2.6450719513533244e-06
C(year)[T.1990],2.2574721814127554,0.5012442206058472,6.676880458521021e-06
C(year)[T.1995],3.061170911645584,0.5401021400975646,1.4467390933796555e-08
C(year)[T.2000],2.1347538821527614,0.5635063782050405,0.00015165707204263523
C(year)[T.2005],0.8165626204533143,0.593415377636935,0.1688096022290645
C(year)[T.2010],2.118615920692192,0.5567698723183224,0.00014169458756273904
C(year)[T.2015],1.5830126545743541,0.5660460190113248,0.005164106672678665
C(year)[T.2020],-1.3006658406935654,1.11527150918776,0.24352047013416922
lag_efw_summary,-0.5980991877617914,0.13666634823150442,1.206855446547316e-05
d_efw_summary,-0.6778458841546139,0.197686511238377,0.0006060485239855024
lag_gdppc_log,0.18027511884845673,0.10154906123229523,0.07585637684611334
trade_gdp,-0.0008857337473535958,0.0018886580542682894,0.6390873784789932
inflation_cpi,0.009619578199926909,0.010069658352908713,0.339424321817838
gcf_gdp,-0.057724516737358976,0.01647480058888042,0.00045865815113309586
