horizon,term,coef,std_err,t_stat,p_value,nobs,spec
0,d_efw_summary,0.06576178470778388,0.01377831365685616,4.772847123788655,2.155290395489118e-06,972,linear
1,d_efw_summary,0.017852395568220564,0.014307917645239676,1.2477284263765773,0.2125644907389499,834,linear
2,d_efw_summary,0.01036688895644042,0.014013529635223076,0.7397771458222198,0.45976032094924224,691,linear
3,d_efw_summary,-0.016374687687554693,0.016277193050918324,-1.005989646761047,0.31501679025880125,551,linear
0,d_efw_summary_pos,0.057886314183264,0.020639347367713296,2.80465816830125,0.005157904607461683,972,asymmetric
0,d_efw_summary_neg,0.07994396268597231,0.028732519231528662,2.7823513156565993,0.005522492880573937,972,asymmetric
1,d_efw_summary_pos,0.021993166449040185,0.018351350640001752,1.198449470040647,0.2311645568756171,834,asymmetric
1,d_efw_summary_neg,0.008888466986940775,0.02690877423736936,0.3303185387982847,0.7412622390289525,834,asymmetric
2,d_efw_summary_pos,-0.005130971058320359,0.0211595370906176,-0.24248975940950498,0.808493970286511,691,asymmetric
2,d_efw_summary_neg,0.04690447583545212,0.027195710339570286,1.724701258021755,0.08516105505208649,691,asymmetric
3,d_efw_summary_pos,-0.014888527371351263,0.021770820944213256,-0.6838753306318783,0.49444306343880595,551,asymmetric
3,d_efw_summary_neg,-0.02021117092641971,0.04109114236170932,-0.4918619869097005,0.6230820841623932,551,asymmetric
0,d_efw_summary,0.060968226551952186,0.01556596697952659,3.9167644793376284,9.732819851504537e-05,972,magnitude
0,d_efw_large,0.009101794821969225,0.01895572929251721,0.4801606248704009,0.6312431427981275,972,magnitude
1,d_efw_summary,0.015789170158760364,0.017638925351282947,0.8951322058637748,0.37103692413250733,834,magnitude
1,d_efw_large,0.003914754915164222,0.018692519645316985,0.20942895818461696,0.8341768606074036,834,magnitude
2,d_efw_summary,0.01757444595044812,0.017027839775160664,1.0321007351786817,0.3024930133508166,691,magnitude
2,d_efw_large,-0.013095483683302479,0.01916945798528649,-0.6831431380769302,0.4948132306852706,691,magnitude
3,d_efw_summary,-0.033264512267474,0.021981664515561824,-1.513284503269738,0.1309835246164266,551,magnitude
3,d_efw_large,0.03120487497620782,0.02669564422911994,1.1689126026847914,0.24312301010179493,551,magnitude
0,d_efw_summary,0.059975254546222594,0.01495522739099627,4.010320470441689,6.843677825596473e-05,692,state_dependence
0,shock_x_efw0,0.001073753418775995,0.0177735000606874,0.06041316651811275,0.9518470648751371,692,state_dependence
0,shock_x_y0,-0.03698291002672988,0.014137920688747507,-2.615866281960748,0.00912832462969182,692,state_dependence
1,d_efw_summary,0.03143332674675123,0.014435000368026512,2.177577135112235,0.029895137695876706,611,state_dependence
1,shock_x_efw0,0.009811246633268987,0.016811727660925497,0.5835953824110943,0.559750565277594,611,state_dependence
1,shock_x_y0,0.0016405575960019999,0.008900765468797346,0.18431646151706418,0.8538384657559424,611,state_dependence
2,d_efw_summary,0.022570116224489307,0.01399042377784724,1.6132546506723657,0.10742450546697868,529,state_dependence
2,shock_x_efw0,0.001180815087852025,0.01406138556243162,0.08397572789745962,0.9331149013651237,529,state_dependence
2,shock_x_y0,0.04819479627040785,0.014309236198725954,3.368090064422792,0.000825223977903633,529,state_dependence
3,d_efw_summary,-0.025201331600315006,0.015259384505438138,-1.6515300201874956,0.09951965024938714,448,state_dependence
3,shock_x_efw0,0.0006563810112182587,0.024992040117190074,0.0262636026567029,0.9790619264806857,448,state_dependence
3,shock_x_y0,-0.035926091485733995,0.020435756459057132,-1.7580015478121214,0.07961388450613849,448,state_dependence
