iso3,country,year,d_efw_summary,gdppc_growth_5y
BDI,Burundi,1995,-0.9049028201175959,-0.2094873784315432
GTM,Guatemala,1985,-0.8925525622783157,-0.18562838999582087
IRN,"Iran, Islamic Rep.",1980,-1.1993563644928664,-0.5336351982449763
KWT,Kuwait,1975,-1.4668368365362587,-0.5432811346114406
LBN,Lebanon,2020,-1.4771809523809507,-0.1803939492701545
MMR,Myanmar,1990,-1.3399568400727997,-0.1915741883993345
NIC,Nicaragua,1980,-1.1932431350185957,-0.35673346493585534
ZWE,Zimbabwe,2005,-1.1230686732494353,-0.43229316345053004
ZWE,Zimbabwe,2020,-1.5659948979591838,-0.11955414322838376
