Region,Component,1990→2000,2000→2008,2008→2013,2013→2020
East Asia & Pacific,Legal System,8.624496439946228e-05,0.1584488258796366,0.09555405549748208,0.15069327207418848
East Asia & Pacific,Regulation,0.12595614087672313,0.13819080544500384,0.07551744659981274,0.06270136032076046
East Asia & Pacific,Size of Gov,0.2339009601677029,0.26678213987753807,0.06450891196507591,-0.07286645273949421
East Asia & Pacific,Sound Money,-0.32273480728181525,-0.10508928788184502,0.8858091470753058,0.4499480328149179
East Asia & Pacific,Trade Freedom,0.5616993245583659,0.04422140230704841,0.17275799653662638,-0.30647986337587696
Europe & Central Asia,Legal System,-0.17948280371966074,0.2668963479039217,-0.04679334856303008,0.09276376601952219
Europe & Central Asia,Regulation,0.49443927841789215,-0.16312989482026996,0.34868797243632876,-0.1814217359385628
Europe & Central Asia,Size of Gov,1.2276697102907512,0.24792969905174722,-0.056029198890485965,-0.33494269000237065
Europe & Central Asia,Sound Money,-0.7662422276335183,1.3468274357646077,0.826662440042317,0.09278245632262916
Europe & Central Asia,Trade Freedom,1.128725210341348,-0.2595971069006904,-0.16071753368120056,0.13297216244311194
Latin America & the Caribbean,Legal System,-0.26514243972561236,0.2035178462061653,-0.03143115661627505,0.04416178265482884
Latin America & the Caribbean,Regulation,0.75697732950964,-0.155726747310033,0.032811811703849614,-0.1647008654267923
Latin America & the Caribbean,Size of Gov,0.35824178960600683,0.035888191436843186,-0.30289971087399614,-0.13890048333031935
Latin America & the Caribbean,Sound Money,2.229532898864057,-0.1726718861545553,0.7661290078336291,-0.005909845181808038
Latin America & the Caribbean,Trade Freedom,2.2929347889803404,0.18241446158401686,-0.31147411953504545,-0.4596252131070919
Middle East & North Africa,Legal System,0.568660044320489,0.23735808137242387,-0.07259155049607813,0.269112628203656
Middle East & North Africa,Regulation,-0.06976578537653033,0.505014208680004,-0.013789415057494203,-0.12351323740254472
Middle East & North Africa,Size of Gov,0.42632007281163986,0.0755299989167888,0.5183126436689056,0.08042362363057887
Middle East & North Africa,Sound Money,-0.15714191247250575,0.24331487023911347,0.5686697307901856,0.21126760810629808
Middle East & North Africa,Trade Freedom,1.891101596412141,0.2775068472181479,-0.3233578394163743,-0.8574774732235442
North America,Legal System,-0.4958440086944762,-0.4174898555842823,0.0355204013872461,-0.17063481164003047
North America,Regulation,-0.13193341915357593,-0.43223695674134355,0.14129171268980834,-0.5100295918825308
North America,Size of Gov,0.33768273728912845,0.035741646295475604,0.011666071712724602,-0.6312678745530942
North America,Sound Money,-0.08117808270032789,-0.13885454852588452,-0.19351866384215022,0.3107484653677357
North America,Trade Freedom,0.10336154526726915,-0.6979650953339949,-0.1884057351884305,-0.1234844318828543
South Asia,Legal System,-0.11192541282809909,0.10521261854059194,0.015192310737009329,0.3297580632392858
South Asia,Regulation,0.5203875721724938,-0.16791010454695776,0.3090262356245459,0.09794338973475902
South Asia,Size of Gov,1.1373378036124686,0.4234899622786408,0.8352747592726386,-0.26984555972135116
South Asia,Sound Money,0.6811135214627582,-0.83978404703881,0.10174088279058946,0.3398014835885652
South Asia,Trade Freedom,3.6382622019155986,0.2518214488477719,-0.13893443228809765,-0.35888948061782333
Sub-Saharan Africa,Legal System,-0.2246790252741424,0.3905988929060076,0.0670871933818038,0.07239450815380977
Sub-Saharan Africa,Regulation,-0.39716614680178264,0.3132406305406015,0.12279292297209299,0.228739238609025
Sub-Saharan Africa,Size of Gov,0.5460708172133506,0.5780777378745023,0.048987024557750836,0.20990473480659322
Sub-Saharan Africa,Sound Money,0.9756669372937807,0.009070277032650509,0.7907764433512492,0.05609761573783967
Sub-Saharan Africa,Trade Freedom,1.3936634598833653,0.3014775715446314,0.21902596798532326,-0.40985658909706846
