Component,1990→2000,2000→2008,2008→2013,2013→2020
Size of Gov,0.616978817017146,0.2860654986557316,0.0502062452877583,-0.07393182670258724
Legal System,-0.08213848053406725,0.257651357157088,0.0033936081981362776,0.09362791960468542
Sound Money,0.40218292479148765,0.3510339296806997,0.7476520550681016,0.1323479387972064
Trade Freedom,1.624785672934106,0.05134439812167013,-0.0998225685797216,-0.322374315106873
Regulation,0.16171672789885694,0.08504847280242966,0.15405845886687608,-0.026487803086558515
